series,team,name,pts,fgm,fga,pm2,pa2,pm3,pa3,mj_bonus,oreb,dreb,reb,ast,stl,dfl,blk,to,plus_minus,games,wins,totgames,efg,gamescore,tfga,tto,usg
7,JJ,태훈,6,3,14,3,14,0,0,0,5,5,10,1,2,0,0,2,-15,6,2,7,.21428572,3.0999999,108,14,.15300547
8,DK,덕용,6,2,4,0,0,2,4,0,0,6,6,2,1,0,0,1,-16,3,0,6,.75,7.1999998,102,22,.080645159
8,DK,동희,3,1,8,0,3,1,5,0,1,1,2,1,1,0,0,0,-16,3,0,6,.1875,.5,102,22,.12903225
8,DK,민주,14,4,21,0,1,4,20,2,0,1,1,3,0,0,0,5,-15,3,0,6,.33333334,-1.7,102,22,.41935483
8,DK,병주,17,8,20,7,14,1,6,0,0,1,1,3,4,2,0,3,1,3,2,6,.42500001,9.6000004,102,22,.37096775
8,DK,상수,15,7,19,6,12,1,7,0,5,11,16,3,0,3,0,0,1,3,2,6,.39473686,13.4,102,22,.30645162
8,DK,신예찬,7,3,5,2,3,1,2,0,2,2,4,0,0,0,0,1,-16,3,0,6,.69999999,5.6999998,102,22,.096774191
8,DK,원유,0,0,4,0,4,0,0,0,2,2,4,2,0,0,0,3,-16,3,0,6,0,-2.4000001,102,22,.11290322
8,DK,종우,6,3,11,3,11,0,0,0,2,1,3,3,1,0,0,2,0,3,2,6,.27272728,2.3,102,22,.20967741
8,DK,토마스리,2,1,8,1,7,0,1,0,4,6,10,0,1,2,0,3,1,3,2,6,.125,-.60000002,102,22,.17741935
8,DK,현호,0,0,2,0,2,0,0,0,3,7,10,4,0,0,3,4,1,3,2,6,0,3.7,102,22,.096774191
8,JJ,길현,4,2,9,2,9,0,0,0,5,8,13,1,1,0,1,0,13,5,3,6,.22222222,6.8000002,114,14,.084375001
8,JJ,민재,8,4,12,4,8,0,4,0,3,1,4,1,2,1,0,1,9,4,3,6,.33333334,5.3000002,114,14,.15234375
8,JJ,상백,2,1,10,1,9,0,1,0,1,3,4,1,1,0,0,2,3,4,2,6,.1,-3.3,114,14,.140625
8,JJ,승호,0,0,2,0,1,0,1,0,0,1,1,5,0,0,0,3,8,2,1,6,0,-.60000002,114,14,.1171875
8,JJ,제임스,33,15,22,12,16,3,6,0,4,10,14,3,1,0,1,2,17,5,4,6,.75,31.200001,114,14,.22499999
8,JJ,제프,24,11,31,9,21,2,10,0,2,2,4,5,7,1,1,2,22,5,4,6,.38709676,17.9,114,14,.30937499
8,JJ,택용,14,7,20,7,20,0,0,0,6,11,17,1,1,0,0,3,0,3,1,6,.34999999,9,114,14,.359375
8,JJ,토마스초,0,0,8,0,0,0,8,0,1,1,2,2,4,3,2,1,3,3,2,6,0,1.2,114,14,.140625
